for;for_votes
A16z;3210601.356
Polychain Capital;305958.0784
Gauntlet;126140.3958
Robert Leshner;105128.0754
Blck;100074.1985
MonetSupply;77514.3833
Getty Hill;66050.5277
Pantera Capital;57785.7558
InstaDApp;50018.0909
Blockchain At UCLA;50004.0885
Blockchain At Berkeley;50001.4523
Penn Blockchain;50000
Blockchain At Michigan;50000
Blockchain At Columbia;50000
0x10f8...1f92;42476.2708
Dakeshi;14793.7301
TennisBowling;5001.7899
0xa5dc...D648;3254.53
Nick Martitsch;2314.33
0x84e3...5a95;151.5405
0x03f0...7618;25.0821
0x1df4...D706;1.4802
0x88b3...1d42;0.3276
0x8aba...7940;0.25
0x44c6...Aabd;0.25
0xe25d...2362;0.0078
0x2512...7c7a;0
0x2733...0702;0
